voxel_id,fix_x,fix_y,original_id
sofa_0256_x80_y125_aug_31_90,92,-157,sofa_0256_x80_y125
vase_0458_x55_y150_aug_32_90,91,-78,vase_0458_x55_y150
cup_0053_x100_y155_aug_33_90,93,60,cup_0053_x100_y155
bookshelf_0320_x130_y120_aug_34_90,92,-93,bookshelf_0320_x130_y120
sofa_0478_x155_y65_aug_35_90,91,145,sofa_0478_x155_y65
sink_0031_x160_y120_aug_36_90,94,161,sink_0031_x160_y120
bottle_0122_x170_y155_aug_37_90,92,79,bottle_0122_x170_y155
bottle_0019_x40_y30_aug_38_90,94,-98,bottle_0019_x40_y30
bottle_0019_x155_y95_aug_39_90,90,150,bottle_0019_x155_y95
stairs_0144_x135_y115_aug_40_90,91,171,stairs_0144_x135_y115
bookshelf_0504_x145_y10_aug_41_90,92,-139,bookshelf_0504_x145_y10
sofa_0548_x150_y85_aug_42_90,94,2,sofa_0548_x150_y85
bed_0163_x50_y110_aug_43_90,90,-35,bed_0163_x50_y110
vase_0369_x145_y20_aug_44_90,90,150,vase_0369_x145_y20
chair_0014_x80_y165_aug_45_90,94,33,chair_0014_x80_y165
vase_0332_x125_y90_aug_46_90,92,-136,vase_0332_x125_y90
sofa_0610_x125_y95_aug_47_90,91,78,sofa_0610_x125_y95
vase_0268_x130_y15_aug_48_90,93,28,vase_0268_x130_y15
chair_0897_x0_y40_aug_49_90,90,95,chair_0897_x0_y40
bookshelf_0259_x125_y170_aug_0_95,97,99,bookshelf_0259_x125_y170
vase_0411_x135_y165_aug_1_95,96,65,vase_0411_x135_y165
bench_0122_x175_y120_aug_2_95,99,162,bench_0122_x175_y120
bookshelf_0564_x25_y155_aug_3_95,96,116,bookshelf_0564_x25_y155
bowl_0042_x150_y70_aug_4_95,99,180,bowl_0042_x150_y70
person_0075_x95_y105_aug_5_95,95,-171,person_0075_x95_y105
bottle_0270_x50_y45_aug_6_95,97,66,bottle_0270_x50_y45
chair_0039_x125_y40_aug_7_95,97,157,chair_0039_x125_y40
chair_0028_x65_y170_aug_8_95,99,100,chair_0028_x65_y170
chair_0689_x160_y100_aug_9_95,95,-82,chair_0689_x160_y100
cup_0053_x150_y165_aug_10_95,97,-22,cup_0053_x150_y165
bookshelf_0343_x45_y45_aug_11_95,97,18,bookshelf_0343_x45_y45
table_0457_x20_y160_aug_12_95,97,-33,table_0457_x20_y160
curtain_0030_x30_y25_aug_13_95,98,-54,curtain_0030_x30_y25
vase_0379_x125_y55_aug_14_95,99,-163,vase_0379_x125_y55
bookshelf_0320_x150_y135_aug_15_95,99,-22,bookshelf_0320_x150_y135
bottle_0344_x75_y95_aug_16_95,99,-67,bottle_0344_x75_y95
chair_0117_x165_y130_aug_17_95,99,170,chair_0117_x165_y130
vase_0196_x40_y100_aug_18_95,98,112,vase_0196_x40_y100
bottle_0344_x140_y5_aug_19_95,99,35,bottle_0344_x140_y5
stairs_0113_x35_y165_aug_20_95,96,-115,stairs_0113_x35_y165
chair_0897_x120_y165_aug_21_95,97,-133,chair_0897_x120_y165
sofa_0216_x0_y0_aug_22_95,99,14,sofa_0216_x0_y0
chair_0706_x140_y165_aug_23_95,97,62,chair_0706_x140_y165
vase_0311_x60_y140_aug_24_95,99,22,vase_0311_x60_y140
bed_0163_x50_y110_aug_25_95,97,137,bed_0163_x50_y110
cone_0063_x80_y130_aug_26_95,98,-83,cone_0063_x80_y130
sofa_0216_x80_y75_aug_27_95,96,-110,sofa_0216_x80_y75
bookshelf_0268_x135_y125_aug_28_95,97,149,bookshelf_0268_x135_y125
cup_0025_x10_y170_aug_29_95,97,-167,cup_0025_x10_y170
vase_0262_x170_y110_aug_30_95,96,-50,vase_0262_x170_y110
dresser_0115_x150_y130_aug_31_95,95,-147,dresser_0115_x150_y130
piano_0135_x135_y175_aug_32_95,99,5,piano_0135_x135_y175
bed_0163_x140_y50_aug_33_95,95,-130,bed_0163_x140_y50
sofa_0256_x0_y90_aug_34_95,99,-78,sofa_0256_x0_y90
vase_0268_x25_y35_aug_35_95,99,154,vase_0268_x25_y35
cup_0098_x60_y120_aug_36_95,99,-124,cup_0098_x60_y120
bowl_0058_x50_y175_aug_37_95,97,-71,bowl_0058_x50_y175
bottle_0395_x35_y110_aug_38_95,99,-68,bottle_0395_x35_y110
chair_0858_x175_y5_aug_39_95,95,-20,chair_0858_x175_y5
bottle_0050_x45_y100_aug_40_95,95,123,bottle_0050_x45_y100
stool_0057_x85_y55_aug_41_95,97,-170,stool_0057_x85_y55
bookshelf_0259_x135_y10_aug_42_95,98,-56,bookshelf_0259_x135_y10
chair_0897_x150_y145_aug_43_95,97,162,chair_0897_x150_y145
vase_0482_x150_y35_aug_44_95,98,-166,vase_0482_x150_y35
chair_0689_x75_y0_aug_45_95,96,-60,chair_0689_x75_y0
bathtub_0015_x60_y120_aug_46_95,96,-164,bathtub_0015_x60_y120
tent_0132_x90_y100_aug_47_95,98,-87,tent_0132_x90_y100
stairs_0144_x145_y140_aug_48_95,95,117,stairs_0144_x145_y140
vase_0109_x135_y120_aug_49_95,97,-154,vase_0109_x135_y120
dresser_0115_x55_y170_aug_0_100,102,132,dresser_0115_x55_y170
chair_0298_x165_y155_aug_1_100,103,141,chair_0298_x165_y155
chair_0545_x15_y65_aug_2_100,104,-21,chair_0545_x15_y65
bookshelf_0343_x135_y155_aug_3_100,104,-80,bookshelf_0343_x135_y155
bookshelf_0259_x60_y20_aug_4_100,101,180,bookshelf_0259_x60_y20
chair_0298_x40_y125_aug_5_100,103,63,chair_0298_x40_y125
vase_0262_x20_y20_aug_6_100,102,109,vase_0262_x20_y20
bottle_0344_x130_y15_aug_7_100,103,-98,bottle_0344_x130_y15
bottle_0344_x80_y110_aug_8_100,100,113,bottle_0344_x80_y110
dresser_0255_x100_y60_aug_9_100,101,-96,dresser_0255_x100_y60
laptop_0045_x115_y80_aug_10_100,103,-104,laptop_0045_x115_y80
chair_0145_x140_y175_aug_11_100,100,-11,chair_0145_x140_y175
bookshelf_0343_x105_y0_aug_12_100,104,82,bookshelf_0343_x105_y0
vase_0411_x135_y165_aug_13_100,101,-147,vase_0411_x135_y165
vase_0166_x40_y65_aug_14_100,101,-53,vase_0166_x40_y65
cup_0050_x35_y155_aug_15_100,101,-87,cup_0050_x35_y155
chair_0689_x125_y30_aug_16_100,103,166,chair_0689_x125_y30
sink_0031_x100_y20_aug_17_100,104,95,sink_0031_x100_y20
table_0449_x160_y165_aug_18_100,102,98,table_0449_x160_y165
sofa_0011_x145_y75_aug_19_100,103,16,sofa_0011_x145_y75
chair_0466_x75_y150_aug_20_100,101,-90,chair_0466_x75_y150
dresser_0018_x130_y70_aug_21_100,100,-147,dresser_0018_x130_y70
vase_0332_x70_y65_aug_22_100,102,102,vase_0332_x70_y65
bottle_0205_x155_y95_aug_23_100,101,178,bottle_0205_x155_y95
vase_0131_x75_y95_aug_24_100,102,2,vase_0131_x75_y95
vase_0332_x10_y95_aug_25_100,101,-32,vase_0332_x10_y95
sofa_0209_x110_y160_aug_26_100,100,-131,sofa_0209_x110_y160
bowl_0042_x120_y130_aug_27_100,104,30,bowl_0042_x120_y130
lamp_0107_x35_y155_aug_28_100,100,141,lamp_0107_x35_y155
bookshelf_0265_x155_y40_aug_29_100,102,-48,bookshelf_0265_x155_y40
bottle_0205_x75_y105_aug_30_100,100,151,bottle_0205_x75_y105
vase_0515_x10_y50_aug_31_100,102,79,vase_0515_x10_y50
chair_0706_x175_y45_aug_32_100,100,61,chair_0706_x175_y45
sink_0031_x150_y55_aug_33_100,101,129,sink_0031_x150_y55
curtain_0143_x0_y150_aug_34_100,100,90,curtain_0143_x0_y150
bookshelf_0259_x45_y0_aug_35_100,100,155,bookshelf_0259_x45_y0
vase_0285_x25_y120_aug_36_100,103,-144,vase_0285_x25_y120
bed_0275_x165_y130_aug_37_100,103,-129,bed_0275_x165_y130
chair_0928_x135_y135_aug_38_100,100,-110,chair_0928_x135_y135
door_0001_x30_y90_aug_39_100,103,10,door_0001_x30_y90
cup_0025_x155_y120_aug_40_100,100,-116,cup_0025_x155_y120
dresser_0115_x125_y135_aug_41_100,101,74,dresser_0115_x125_y135
table_0111_x90_y65_aug_42_100,104,-63,table_0111_x90_y65
bookshelf_0343_x165_y50_aug_43_100,102,176,bookshelf_0343_x165_y50
chair_0706_x150_y85_aug_44_100,102,-69,chair_0706_x150_y85
bottle_0050_x170_y135_aug_45_100,100,88,bottle_0050_x170_y135
bowl_0053_x50_y155_aug_46_100,101,-164,bowl_0053_x50_y155
curtain_0143_x0_y30_aug_47_100,102,-131,curtain_0143_x0_y30
chair_0605_x115_y50_aug_48_100,104,-132,chair_0605_x115_y50
table_0449_x20_y135_aug_49_100,102,-99,table_0449_x20_y135
bottle_0122_x35_y155_aug_0_105,107,138,bottle_0122_x35_y155
vase_0515_x165_y125_aug_1_105,106,-2,vase_0515_x165_y125
sofa_0409_x55_y30_aug_2_105,105,36,sofa_0409_x55_y30
bookshelf_0343_x40_y145_aug_3_105,106,12,bookshelf_0343_x40_y145
bowl_0081_x75_y0_aug_4_105,106,151,bowl_0081_x75_y0
bottle_0006_x55_y65_aug_5_105,109,-32,bottle_0006_x55_y65
chair_0706_x150_y85_aug_6_105,106,-32,chair_0706_x150_y85
sofa_0515_x135_y150_aug_7_105,109,-95,sofa_0515_x135_y150
sofa_0395_x15_y95_aug_8_105,106,159,sofa_0395_x15_y95
bottle_0344_x80_y110_aug_9_105,108,73,bottle_0344_x80_y110
chair_0610_x130_y140_aug_10_105,107,131,chair_0610_x130_y140
dresser_0248_x0_y165_aug_11_105,106,-101,dresser_0248_x0_y165
curtain_0143_x25_y45_aug_12_105,108,106,curtain_0143_x25_y45
bowl_0042_x25_y20_aug_13_105,105,-108,bowl_0042_x25_y20
cup_0081_x0_y85_aug_14_105,108,-151,cup_0081_x0_y85
bowl_0053_x175_y80_aug_15_105,105,-16,bowl_0053_x175_y80
vase_0247_x150_y170_aug_16_105,109,21,vase_0247_x150_y170
bowl_0050_x120_y35_aug_17_105,105,-53,bowl_0050_x120_y35
bed_0275_x35_y5_aug_18_105,105,62,bed_0275_x35_y5
chair_0145_x10_y50_aug_19_105,105,122,chair_0145_x10_y50
sofa_0554_x165_y70_aug_20_105,107,165,sofa_0554_x165_y70
bowl_0058_x135_y10_aug_21_105,105,-166,bowl_0058_x135_y10
lamp_0107_x145_y110_aug_22_105,108,130,lamp_0107_x145_y110
vase_0275_x80_y105_aug_23_105,109,88,vase_0275_x80_y105
vase_0379_x25_y105_aug_24_105,105,-101,vase_0379_x25_y105
cone_0143_x135_y165_aug_25_105,107,160,cone_0143_x135_y165
cone_0071_x100_y120_aug_26_105,106,14,cone_0071_x100_y120
bottle_0270_x120_y5_aug_27_105,105,-126,bottle_0270_x120_y5
bowl_0029_x25_y70_aug_28_105,109,-164,bowl_0029_x25_y70
vase_0262_x145_y175_aug_29_105,105,-88,vase_0262_x145_y175
bowl_0050_x120_y35_aug_30_105,106,-21,bowl_0050_x120_y35
bowl_0050_x120_y35_aug_31_105,106,29,bowl_0050_x120_y35
vase_0285_x100_y120_aug_32_105,108,-105,vase_0285_x100_y120
chair_0145_x80_y105_aug_33_105,108,-63,chair_0145_x80_y105
sofa_0541_x130_y5_aug_34_105,109,113,sofa_0541_x130_y5
dresser_0115_x150_y80_aug_35_105,107,-97,dresser_0115_x150_y80
curtain_0143_x100_y120_aug_36_105,105,-156,curtain_0143_x100_y120
vase_0515_x105_y105_aug_37_105,105,-112,vase_0515_x105_y105
vase_0069_x170_y175_aug_38_105,109,174,vase_0069_x170_y175
bottle_0348_x160_y30_aug_39_105,108,104,bottle_0348_x160_y30
bottle_0395_x80_y70_aug_40_105,108,172,bottle_0395_x80_y70
sofa_0395_x15_y55_aug_41_105,106,58,sofa_0395_x15_y55
bookshelf_0107_x115_y45_aug_42_105,105,-177,bookshelf_0107_x115_y45
bowl_0061_x5_y165_aug_43_105,106,-89,bowl_0061_x5_y165
cone_0078_x140_y0_aug_44_105,107,-1,cone_0078_x140_y0
sofa_0502_x20_y90_aug_45_105,109,80,sofa_0502_x20_y90
vase_0109_x135_y120_aug_46_105,107,-115,vase_0109_x135_y120
bookshelf_0265_x5_y55_aug_47_105,106,-30,bookshelf_0265_x5_y55
cone_0071_x40_y20_aug_48_105,109,-107,cone_0071_x40_y20
bottle_0122_x165_y170_aug_49_105,109,-64,bottle_0122_x165_y170
vase_0109_x25_y70_aug_0_110,114,-144,vase_0109_x25_y70
vase_0174_x15_y145_aug_1_110,110,61,vase_0174_x15_y145
chair_0466_x115_y75_aug_2_110,110,162,chair_0466_x115_y75
sofa_0209_x120_y25_aug_3_110,114,-80,sofa_0209_x120_y25
cup_0053_x170_y5_aug_4_110,113,13,cup_0053_x170_y5
bottle_0122_x65_y80_aug_5_110,113,23,bottle_0122_x65_y80
vase_0262_x60_y40_aug_6_110,111,-7,vase_0262_x60_y40
cup_0081_x145_y90_aug_7_110,111,-68,cup_0081_x145_y90
vase_0199_x75_y50_aug_8_110,111,-148,vase_0199_x75_y50
vase_0190_x160_y0_aug_9_110,114,-101,vase_0190_x160_y0
vase_0369_x105_y65_aug_10_110,111,-23,vase_0369_x105_y65
bowl_0031_x65_y5_aug_11_110,112,-174,bowl_0031_x65_y5
chair_0145_x115_y45_aug_12_110,112,-134,chair_0145_x115_y45
bowl_0050_x55_y20_aug_13_110,112,-26,bowl_0050_x55_y20
tent_0132_x115_y70_aug_14_110,113,-128,tent_0132_x115_y70
vase_0160_x60_y0_aug_15_110,111,-78,vase_0160_x60_y0
curtain_0075_x95_y170_aug_16_110,112,40,curtain_0075_x95_y170
chair_0241_x50_y60_aug_17_110,112,55,chair_0241_x50_y60
sofa_0502_x160_y60_aug_18_110,114,160,sofa_0502_x160_y60
cup_0081_x60_y120_aug_19_110,112,23,cup_0081_x60_y120
stairs_0144_x40_y65_aug_20_110,111,81,stairs_0144_x40_y65
chair_0117_x175_y160_aug_21_110,111,-103,chair_0117_x175_y160
vase_0411_x0_y150_aug_22_110,114,-86,vase_0411_x0_y150
dresser_0045_x125_y130_aug_23_110,111,123,dresser_0045_x125_y130
cup_0050_x20_y45_aug_24_110,113,-89,cup_0050_x20_y45
vase_0359_x165_y55_aug_25_110,113,50,vase_0359_x165_y55
lamp_0107_x15_y60_aug_26_110,110,-2,lamp_0107_x15_y60
vase_0203_x165_y0_aug_27_110,110,64,vase_0203_x165_y0
sofa_0502_x20_y90_aug_28_110,114,-41,sofa_0502_x20_y90
bowl_0050_x90_y145_aug_29_110,114,-46,bowl_0050_x90_y145
vase_0379_x75_y65_aug_30_110,113,-10,vase_0379_x75_y65
bottle_0205_x125_y160_aug_31_110,110,43,bottle_0205_x125_y160
bed_0163_x15_y140_aug_32_110,110,65,bed_0163_x15_y140
bottle_0095_x15_y160_aug_33_110,111,-128,bottle_0095_x15_y160
vase_0275_x90_y0_aug_34_110,112,-64,vase_0275_x90_y0
vase_0369_x60_y115_aug_35_110,110,100,vase_0369_x60_y115
vase_0123_x40_y60_aug_36_110,113,41,vase_0123_x40_y60
cup_0053_x165_y75_aug_37_110,113,159,cup_0053_x165_y75
vase_0285_x0_y110_aug_38_110,112,78,vase_0285_x0_y110
bathtub_0015_x35_y40_aug_39_110,111,-66,bathtub_0015_x35_y40
sofa_0715_x165_y155_aug_40_110,114,-10,sofa_0715_x165_y155
chair_0466_x145_y75_aug_41_110,110,-120,chair_0466_x145_y75
dresser_0115_x165_y20_aug_42_110,113,167,dresser_0115_x165_y20
bottle_0344_x55_y115_aug_43_110,110,-163,bottle_0344_x55_y115
lamp_0107_x35_y155_aug_44_110,112,-44,lamp_0107_x35_y155
vase_0069_x85_y80_aug_45_110,110,69,vase_0069_x85_y80
sofa_0256_x85_y5_aug_46_110,112,85,sofa_0256_x85_y5
chair_0928_x135_y135_aug_47_110,113,-9,chair_0928_x135_y135
chair_0605_x50_y60_aug_48_110,114,-39,chair_0605_x50_y60
bookshelf_0265_x170_y50_aug_49_110,111,126,bookshelf_0265_x170_y50
table_0449_x175_y105_aug_0_115,118,-75,table_0449_x175_y105
cup_0065_x80_y85_aug_1_115,115,-12,cup_0065_x80_y85
bottle_0095_x160_y55_aug_2_115,115,53,bottle_0095_x160_y55
vase_0196_x150_y125_aug_3_115,118,-155,vase_0196_x150_y125
chair_0014_x150_y40_aug_4_115,119,-141,chair_0014_x150_y40
bowl_0029_x165_y55_aug_5_115,117,38,bowl_0029_x165_y55
sofa_0515_x30_y115_aug_6_115,115,-140,sofa_0515_x30_y115
vase_0543_x145_y55_aug_7_115,118,-10,vase_0543_x145_y55
curtain_0143_x10_y15_aug_8_115,117,152,curtain_0143_x10_y15
vase_0199_x110_y140_aug_9_115,116,157,vase_0199_x110_y140
sofa_0541_x140_y10_aug_10_115,119,93,sofa_0541_x140_y10
bookshelf_0268_x95_y80_aug_11_115,116,101,bookshelf_0268_x95_y80
chair_0298_x140_y100_aug_12_115,119,-73,chair_0298_x140_y100
bathtub_0015_x35_y40_aug_13_115,118,96,bathtub_0015_x35_y40
cup_0025_x125_y140_aug_14_115,117,168,cup_0025_x125_y140
sofa_0554_x165_y100_aug_15_115,115,106,sofa_0554_x165_y100
cup_0053_x160_y155_aug_16_115,117,-149,cup_0053_x160_y155
vase_0160_x140_y75_aug_17_115,115,-103,vase_0160_x140_y75
vase_0196_x125_y130_aug_18_115,118,54,vase_0196_x125_y130
stool_0017_x100_y100_aug_19_115,115,175,stool_0017_x100_y100
dresser_0248_x0_y5_aug_20_115,116,49,dresser_0248_x0_y5
table_0111_x95_y160_aug_21_115,117,26,table_0111_x95_y160
table_0457_x15_y20_aug_22_115,118,-53,table_0457_x15_y20
chair_0706_x175_y55_aug_23_115,119,95,chair_0706_x175_y55
chair_0298_x55_y110_aug_24_115,119,-105,chair_0298_x55_y110
bottle_0019_x50_y165_aug_25_115,117,33,bottle_0019_x50_y165
curtain_0050_x20_y85_aug_26_115,115,43,curtain_0050_x20_y85
sofa_0011_x70_y10_aug_27_115,116,42,sofa_0011_x70_y10
mantel_0144_x5_y145_aug_28_115,119,-129,mantel_0144_x5_y145
vase_0160_x150_y10_aug_29_115,119,47,vase_0160_x150_y10
dresser_0045_x10_y175_aug_30_115,115,32,dresser_0045_x10_y175
bottle_0122_x65_y115_aug_31_115,118,116,bottle_0122_x65_y115
lamp_0107_x40_y50_aug_32_115,117,-151,lamp_0107_x40_y50
vase_0123_x40_y60_aug_33_115,119,32,vase_0123_x40_y60
bench_0046_x50_y85_aug_34_115,119,-124,bench_0046_x50_y85
cup_0004_x130_y80_aug_35_115,117,-178,cup_0004_x130_y80
bottle_0301_x30_y165_aug_36_115,116,-13,bottle_0301_x30_y165
chair_0117_x175_y160_aug_37_115,118,131,chair_0117_x175_y160
vase_0203_x30_y0_aug_38_115,119,-76,vase_0203_x30_y0
xbox_0026_x30_y165_aug_39_115,119,44,xbox_0026_x30_y165
toilet_0357_x0_y10_aug_40_115,117,16,toilet_0357_x0_y10
bathtub_0041_x70_y35_aug_41_115,115,54,bathtub_0041_x70_y35
vase_0069_x145_y150_aug_42_115,116,135,vase_0069_x145_y150
lamp_0107_x60_y35_aug_43_115,119,-174,lamp_0107_x60_y35
chair_0289_x65_y130_aug_44_115,118,-3,chair_0289_x65_y130
bottle_0205_x5_y75_aug_45_115,117,-70,bottle_0205_x5_y75
curtain_0050_x60_y80_aug_46_115,117,-97,curtain_0050_x60_y80
lamp_0025_x20_y140_aug_47_115,119,164,lamp_0025_x20_y140
vase_0275_x45_y175_aug_48_115,117,-134,vase_0275_x45_y175
stool_0057_x155_y70_aug_49_115,118,36,stool_0057_x155_y70
bowl_0011_x150_y160_aug_0_120,120,-155,bowl_0011_x150_y160
bookshelf_0107_x15_y150_aug_1_120,123,-138,bookshelf_0107_x15_y150
curtain_0075_x0_y80_aug_2_120,123,100,curtain_0075_x0_y80
bench_0078_x145_y60_aug_3_120,124,-136,bench_0078_x145_y60
bookshelf_0504_x160_y65_aug_4_120,121,37,bookshelf_0504_x160_y65
cup_0053_x150_y165_aug_5_120,121,-158,cup_0053_x150_y165
bench_0078_x70_y25_aug_6_120,123,-159,bench_0078_x70_y25
bowl_0050_x40_y135_aug_7_120,124,-153,bowl_0050_x40_y135
vase_0280_x80_y110_aug_8_120,124,138,vase_0280_x80_y110
sofa_0554_x150_y30_aug_9_120,120,-89,sofa_0554_x150_y30
bottle_0344_x90_y10_aug_10_120,122,-43,bottle_0344_x90_y10
toilet_0281_x15_y175_aug_11_120,121,160,toilet_0281_x15_y175
tent_0180_x50_y130_aug_12_120,123,54,tent_0180_x50_y130
sofa_0515_x20_y160_aug_13_120,120,68,sofa_0515_x20_y160
bottle_0019_x165_y20_aug_14_120,122,82,bottle_0019_x165_y20
bottle_0382_x95_y40_aug_15_120,123,-156,bottle_0382_x95_y40
vase_0174_x170_y160_aug_16_120,124,-42,vase_0174_x170_y160
cup_0066_x80_y10_aug_17_120,124,-99,cup_0066_x80_y10
chair_0145_x55_y175_aug_18_120,120,136,chair_0145_x55_y175
cup_0066_x80_y10_aug_19_120,120,-110,cup_0066_x80_y10
chair_0605_x95_y120_aug_20_120,122,-165,chair_0605_x95_y120
sofa_0541_x120_y70_aug_21_120,123,-119,sofa_0541_x120_y70
car_0286_x65_y175_aug_22_120,124,30,car_0286_x65_y175
sofa_0554_x45_y40_aug_23_120,122,40,sofa_0554_x45_y40
bookshelf_0320_x130_y60_aug_24_120,124,142,bookshelf_0320_x130_y60
bottle_0205_x135_y25_aug_25_120,122,142,bottle_0205_x135_y25
bowl_0061_x0_y20_aug_26_120,124,57,bowl_0061_x0_y20
vase_0379_x135_y5_aug_27_120,122,101,vase_0379_x135_y5
bench_0175_x10_y80_aug_28_120,122,177,bench_0175_x10_y80
bottle_0205_x130_y55_aug_29_120,122,119,bottle_0205_x130_y55
bowl_0050_x105_y130_aug_30_120,124,-156,bowl_0050_x105_y130
vase_0332_x115_y175_aug_31_120,123,39,vase_0332_x115_y175
bench_0121_x105_y135_aug_32_120,121,-73,bench_0121_x105_y135
lamp_0083_x105_y25_aug_33_120,122,-91,lamp_0083_x105_y25
vase_0543_x80_y10_aug_34_120,120,-63,vase_0543_x80_y10
curtain_0030_x95_y140_aug_35_120,120,85,curtain_0030_x95_y140
vase_0247_x75_y115_aug_36_120,124,-45,vase_0247_x75_y115
table_0457_x70_y145_aug_37_120,121,-50,table_0457_x70_y145
cup_0081_x35_y60_aug_38_120,121,20,cup_0081_x35_y60
mantel_0144_x90_y20_aug_39_120,120,82,mantel_0144_x90_y20
chair_0117_x175_y160_aug_40_120,120,-114,chair_0117_x175_y160
lamp_0107_x10_y90_aug_41_120,123,-134,lamp_0107_x10_y90
bottle_0348_x0_y145_aug_42_120,124,-152,bottle_0348_x0_y145
chair_0028_x65_y170_aug_43_120,121,81,chair_0028_x65_y170
vase_0543_x10_y50_aug_44_120,124,54,vase_0543_x10_y50
chair_0395_x35_y110_aug_45_120,124,-76,chair_0395_x35_y110
bowl_0053_x55_y145_aug_46_120,123,127,bowl_0053_x55_y145
chair_0117_x115_y65_aug_47_120,124,-77,chair_0117_x115_y65
sofa_0610_x130_y75_aug_48_120,123,152,sofa_0610_x130_y75
chair_0241_x50_y60_aug_49_120,122,-3,chair_0241_x50_y60
cup_0081_x75_y90_aug_0_125,127,53,cup_0081_x75_y90
bowl_0081_x20_y175_aug_1_125,128,-40,bowl_0081_x20_y175
sofa_0554_x155_y45_aug_2_125,129,88,sofa_0554_x155_y45
vase_0515_x140_y30_aug_3_125,128,-58,vase_0515_x140_y30
vase_0160_x125_y25_aug_4_125,127,49,vase_0160_x125_y25
vase_0482_x120_y0_aug_5_125,129,-15,vase_0482_x120_y0
sofa_0478_x60_y115_aug_6_125,125,-148,sofa_0478_x60_y115
bed_0163_x65_y80_aug_7_125,127,-129,bed_0163_x65_y80
table_0044_x165_y40_aug_8_125,125,-86,table_0044_x165_y40
bottle_0050_x10_y55_aug_9_125,127,115,bottle_0050_x10_y55
bottle_0122_x50_y165_aug_10_125,126,14,bottle_0122_x50_y165
vase_0262_x30_y125_aug_11_125,128,121,vase_0262_x30_y125
vase_0359_x35_y120_aug_12_125,129,101,vase_0359_x35_y120
vase_0359_x60_y120_aug_13_125,127,-120,vase_0359_x60_y120
cup_0081_x5_y30_aug_14_125,126,101,cup_0081_x5_y30
vase_0160_x30_y100_aug_15_125,128,86,vase_0160_x30_y100
sofa_0478_x65_y50_aug_16_125,128,52,sofa_0478_x65_y50
vase_0131_x130_y125_aug_17_125,127,129,vase_0131_x130_y125
piano_0135_x35_y45_aug_18_125,129,-28,piano_0135_x35_y45
cup_0083_x0_y150_aug_19_125,126,-50,cup_0083_x0_y150
dresser_0115_x150_y80_aug_20_125,125,-84,dresser_0115_x150_y80
cone_0143_x140_y55_aug_21_125,126,125,cone_0143_x140_y55
lamp_0083_x160_y165_aug_22_125,129,-157,lamp_0083_x160_y165
bottle_0270_x45_y90_aug_23_125,127,57,bottle_0270_x45_y90
bathtub_0041_x135_y35_aug_24_125,129,-156,bathtub_0041_x135_y35
vase_0203_x135_y0_aug_25_125,125,-4,vase_0203_x135_y0
bookshelf_0259_x135_y10_aug_26_125,127,-46,bookshelf_0259_x135_y10
sofa_0715_x75_y75_aug_27_125,127,-163,sofa_0715_x75_y75
toilet_0357_x65_y90_aug_28_125,126,80,toilet_0357_x65_y90
cone_0143_x155_y125_aug_29_125,125,-43,cone_0143_x155_y125
vase_0050_x100_y70_aug_30_125,125,-47,vase_0050_x100_y70
table_0111_x145_y10_aug_31_125,129,96,table_0111_x145_y10
bookshelf_0564_x125_y85_aug_32_125,126,-102,bookshelf_0564_x125_y85
tent_0132_x115_y80_aug_33_125,127,-74,tent_0132_x115_y80
cup_0076_x20_y140_aug_34_125,126,11,cup_0076_x20_y140
vase_0369_x115_y60_aug_35_125,128,172,vase_0369_x115_y60
chair_0610_x170_y175_aug_36_125,125,-69,chair_0610_x170_y175
bed_0275_x35_y5_aug_37_125,129,-23,bed_0275_x35_y5
stairs_0144_x130_y135_aug_38_125,126,-159,stairs_0144_x130_y135
chair_0689_x25_y150_aug_39_125,128,67,chair_0689_x25_y150
cone_0078_x120_y65_aug_40_125,126,44,cone_0078_x120_y65
chair_0606_x95_y115_aug_41_125,126,71,chair_0606_x95_y115
sink_0029_x95_y10_aug_42_125,129,-6,sink_0029_x95_y10
dresser_0255_x40_y165_aug_43_125,126,6,dresser_0255_x40_y165
cup_0065_x95_y35_aug_44_125,129,112,cup_0065_x95_y35
stool_0017_x25_y80_aug_45_125,127,-53,stool_0017_x25_y80
vase_0332_x135_y165_aug_46_125,128,-26,vase_0332_x135_y165
sofa_0256_x145_y30_aug_47_125,125,21,sofa_0256_x145_y30
chair_0545_x45_y20_aug_48_125,125,149,chair_0545_x45_y20
cup_0050_x170_y65_aug_49_125,125,-1,cup_0050_x170_y65
vase_0543_x115_y105_aug_0_130,132,165,vase_0543_x115_y105
cone_0143_x30_y165_aug_1_130,130,-30,cone_0143_x30_y165
vase_0199_x175_y90_aug_2_130,130,68,vase_0199_x175_y90
cup_0066_x20_y130_aug_3_130,134,-154,cup_0066_x20_y130
vase_0166_x90_y135_aug_4_130,132,-130,vase_0166_x90_y135
bottle_0207_x55_y35_aug_5_130,130,-42,bottle_0207_x55_y35
sofa_0256_x65_y20_aug_6_130,131,135,sofa_0256_x65_y20
chair_0145_x70_y100_aug_7_130,133,-104,chair_0145_x70_y100
bench_0122_x170_y95_aug_8_130,131,122,bench_0122_x170_y95
vase_0285_x70_y55_aug_9_130,134,-21,vase_0285_x70_y55
bottle_0050_x125_y10_aug_10_130,133,-130,bottle_0050_x125_y10
cup_0076_x155_y110_aug_11_130,130,-27,cup_0076_x155_y110
